i,v1,v2,v3,v4,v5,v6,ii,iii,avr,avl,avf
3.3119073,4.0168405,3.137041,2.847879,2.8332782,2.4006815,3.7984273,517.0,513.6880927085876,-260.1559536457062,-255.18809270858765,515.3440463542938
3.3131142,4.014015,3.137041,2.839283,2.833278,2.4006817,3.798427,517.0,513.6868858337402,-260.1565570831299,-255.18688583374023,515.3434429168701
3.3109584,4.012715,3.1370492,2.880743,2.833278,2.400682,3.7983968,518.0,514.6890416145325,-260.65547919273376,-255.68904161453247,516.3445208072662
3.3122845,4.0133977,3.1370437,2.895839,2.833278,2.400683,3.7984097,519.0,515.6877155303955,-261.15614223480225,-256.1877155303955,517.3438577651978
3.3110912,4.0133395,3.137053,2.876683,2.833278,2.4006824,3.7983987,519.0,515.6889088153839,-261.15554559230804,-256.1889088153839,517.344454407692
3.3126962,4.012985,3.137042,2.8531063,2.833278,2.4006824,3.798401,519.0,515.6873037815094,-261.1563481092453,-256.1873037815094,517.3436518907547
3.3116417,4.013135,3.1370428,2.8931742,2.833278,2.4006824,3.7984052,520.0,516.6883583068848,-261.6558208465576,-256.68835830688477,518.3441791534424
3.3113585,4.01391,3.1370425,2.8977463,2.833278,2.4006817,3.7984192,521.0,517.6886415481567,-262.15567922592163,-257.18864154815674,519.3443207740784
3.3111455,4.0157676,3.1370444,2.9044194,2.833278,2.4006815,3.7984407,521.0,517.6888544559479,-262.15557277202606,-257.1888544559479,519.3444272279739
3.311219,4.014177,3.1370447,2.9115388,2.833278,2.4006817,3.7984314,523.0,519.6887810230255,-263.15560948848724,-258.1887810230255,521.3443905115128
3.313071,4.016736,3.137056,2.952268,2.8332777,2.4006815,3.798454,522.0,518.686928987503,-262.6565355062485,-257.68692898750305,520.3434644937515
3.3112607,4.0159793,3.1370473,2.920364,2.8332777,2.4006817,3.7984455,522.0,518.6887392997742,-262.6556303501129,-257.68873929977417,520.3443696498871
3.3116581,4.017283,3.1370573,2.892796,2.8332777,2.4006822,3.7984407,521.0,517.6883418560028,-262.1558290719986,-257.1883418560028,519.3441709280014
3.3112001,4.0165057,3.1370444,2.8944893,2.8332777,2.4006815,3.7984393,520.0,516.6887998580933,-261.65560007095337,-256.68879985809326,518.3443999290466
3.3113594,4.0173335,3.1370432,2.879147,2.8332777,2.4006815,3.7984407,520.0,516.6886405944824,-261.6556797027588,-256.6886405944824,518.3443202972412
3.3112702,4.0167336,3.137045,2.88304,2.8332777,2.4006817,3.7984288,519.0,515.688729763031,-261.1556351184845,-256.188729763031,517.3443648815155
3.3114195,4.012936,3.137044,2.899558,2.8332777,2.4006817,3.7984283,518.0,514.6885805130005,-260.65570974349976,-255.6885805130005,516.3442902565002
3.3113556,4.01396,3.1370435,2.9105515,2.833278,2.4006817,3.7984293,517.0,513.6886444091797,-260.15567779541016,-255.1886444091797,515.3443222045898
3.3109596,4.012545,3.1370509,2.8914459,2.833278,2.4006817,3.7984262,516.0,512.6890404224396,-259.6554797887802,-254.68904042243958,514.3445202112198
3.3117335,4.0121784,3.1370451,2.8914664,2.833278,2.4006817,3.7984138,517.0,513.6882665157318,-260.1558667421341,-255.1882665157318,515.3441332578659
3.310916,4.0124245,3.1370547,2.872486,2.833278,2.4006815,3.79841,517.0,513.6890840530396,-260.1554579734802,-255.18908405303955,515.3445420265198
3.3113732,4.012203,3.1370428,2.884348,2.8332782,2.4006817,3.798402,518.0,514.6886267662048,-260.6556866168976,-255.68862676620483,516.3443133831024
3.310943,4.012212,3.137043,2.8828256,2.833278,2.4006817,3.7983449,518.0,514.6890571117401,-260.65547144412994,-255.6890571117401,516.34452855587
3.3109775,4.012135,3.1370416,2.8824208,2.833278,2.4006817,3.798331,518.0,514.6890225410461,-260.65548872947693,-255.68902254104614,516.3445112705231
